"gu","dong","car","Hyd_car","lat","lng","r1","r2","r3","r4","r1_from","r2_from","r3_from","r4_from"
"종로구","훈정동",1,0,37.5742191,126.9940707,0.090034543,0.112708386,0.114194344,0.218590395,"여의도","양재","상암","하남"
"종로구","묘동",69,0,37.5725522,126.9918438,0.087281143,0.111957949,0.111973753,0.22045605,"여의도","상암","양재","하남"
"종로구","봉익동",103,0,37.572373,126.9930161,0.088228626,0.111369762,0.113130679,0.219270936,"여의도","양재","상암","하남"
"종로구","돈의동",189,0,37.5720312,126.9906468,0.0859807,0.110763036,0.11195098,0.221535517,"여의도","상암","양재","하남"
"종로구","장사동",338,0,37.5692358,126.9942544,0.087910284,0.107997024,0.114421918,0.217485097,"여의도","양재","상암","하남"
"종로구","관수동",154,0,37.5690609,126.9904495,0.084423549,0.109298685,0.11062453,0.2212026,"여의도","양재","상암","하남"
"종로구","종로3가",69,0,37.5703825,126.9923929,0.086755032,0.109757793,0.112531492,0.219519685,"여의도","양재","상암","하남"
"종로구","인의동",441,0,37.5726289,126.9980205,0.092790022,0.109862666,0.118134548,0.214406549,"여의도","양재","상암","하남"
"종로구","예지동",78,0,37.5695052,126.9984621,0.091827887,0.106769109,0.118620079,0.213391404,"여의도","양재","상암","하남"
"종로구","원남동",264,0,37.575484,126.9976454,0.093778778,0.112683943,0.117791482,0.215342723,"여의도","양재","상암","하남"
"종로구","연지동",429,0,37.5737459,127.0001194,0.095167056,0.110252779,0.12023765,0.21256788,"여의도","양재","상암","하남"
"종로구","종로4가",51,0,37.5706899,126.9979792,0.091896862,0.108047084,0.118110907,0.214081512,"여의도","양재","상암","하남"
"종로구","효제동",226,0,37.5733424,127.0034706,0.097995312,0.108878286,0.123586093,0.209203826,"여의도","양재","상암","하남"
"종로구","종로5가",112,0,37.5707296,127.0033502,0.096782254,0.106408525,0.123480486,0.208812222,"여의도","양재","상암","하남"
"종로구","종로6가",490,0,37.5722418,127.0072739,0.100980859,0.10680346,0.127388855,0.205257122,"여의도","양재","상암","하남"
"종로구","이화동",436,0,37.5773254,127.0054705,0.101559862,0.112178165,0.125668367,0.208090434,"여의도","양재","상암","하남"
"종로구","연건동",369,0,37.5784882,126.9996742,0.097006641,0.114905839,0.119926278,0.214000391,"여의도","양재","상암","하남"
"종로구","충신동",668,0,37.574766,127.0059174,0.100817565,0.109589751,0.126047764,0.207101961,"여의도","양재","상암","하남"
"종로구","동숭동",918,0,37.58161,127.0051704,0.103327507,0.116400026,0.125598354,0.209371879,"여의도","양재","상암","하남"
"종로구","혜화동",836,0,37.587822,127.0023228,0.104118931,0.123131134,0.123362829,0.213696531,"여의도","양재","상암","하남"
"종로구","명륜1가",948,0,37.5889535,126.9974079,0.100688276,0.118635731,0.125572925,0.218735737,"여의도","상암","양재","하남"
"종로구","명륜2가",738,0,37.5846181,126.9991752,0.099736282,0.119879612,0.120910962,0.215919565,"여의도","상암","양재","하남"
"종로구","명륜4가",182,0,37.5823905,126.999806,0.099092458,0.118596125,0.120308084,0.21476722,"여의도","양재","상암","하남"
"종로구","명륜3가",849,0,37.5873096,126.9930707,0.096203889,0.114119215,0.125354717,0.222502553,"여의도","상암","양재","하남"
"종로구","창신동",4429,0,37.5760033,127.0135246,0.108227302,0.109096867,0.133678559,0.199944084,"여의도","양재","상암","하남"
"종로구","숭인동",3753,0,37.5766752,127.0190652,0.108852696,0.113556349,0.139234963,0.194703531,"양재","여의도","상암","하남"
"종로구","교남동",262,0,37.5684349,126.9644739,0.06198964,0.084697129,0.121511899,0.246741019,"여의도","상암","양재","하남"
"종로구","평동",536,0,37.5676735,126.9668353,0.063440103,0.087096496,0.11954375,0.244292187,"여의도","상암","양재","하남"
"종로구","송월동",299,0,37.5701811,126.9653066,0.063716031,0.08545877,0.122476934,0.246187846,"여의도","상암","양재","하남"
"종로구","홍파동",532,0,37.5711594,126.9641514,0.063427288,0.084280129,0.123935975,0.24748441,"여의도","상암","양재","하남"
"종로구","교북동",296,0,37.5714262,126.9613042,0.061430026,0.081428719,0.125783033,0.250337457,"여의도","상암","양재","하남"
"종로구","행촌동",924,0,37.5744857,126.9626521,0.064477158,0.082784614,0.127529472,0.249518845,"여의도","상암","양재","하남"
"종로구","구기동",1954,0,37.6179518,126.9621624,0.093882719,0.098946274,0.165543706,0.261050259,"상암","여의도","양재","하남"
"종로구","평창동",4547,0,37.6139675,126.9743016,0.101986437,0.10302633,0.156948151,0.248276986,"여의도","상암","양재","하남"
"종로구","부암동",1439,0,37.5934957,126.9672852,0.081473354,0.089831102,0.141420622,0.249015359,"여의도","상암","양재","하남"
"종로구","홍지동",532,0,37.6005798,126.956785,0.081181916,0.081785018,0.152740697,0.260987136,"여의도","상암","양재","하남"
"종로구","신영동",1129,0,37.6030533,126.9618054,0.085933987,0.087349799,0.152433611,0.256830892,"여의도","상암","양재","하남"
"종로구","무악동",2796,0,37.5767914,126.9582275,0.062951404,0.078446447,0.131940206,0.254280403,"여의도","상암","양재","하남"
"중구","무교동",252,0,37.5680651,126.9788674,0.073771073,0.099091501,0.113550089,0.232463065,"여의도","상암","양재","하남"
"중구","다동",189,0,37.5678826,126.9811936,0.075699997,0.101423743,0.112275364,0.230137384,"여의도","상암","양재","하남"
"중구","태평로1가",973,0,37.5675677,126.9773826,0.072238642,0.097633437,0.113848599,0.233851525,"여의도","상암","양재","하남"
"중구","을지로1가",117,0,37.5659055,126.9805717,0.074204818,0.100917056,0.110834921,0.230445899,"여의도","상암","양재","하남"
