"자치구","동","동별총대수","수소차대수","고유번호","읍면동코드","읍면동영문명","위도","경도","여의도","양재","상암","하남"
"종로구","계동",364,2,106,11110148,"Gye-dong",37.5829045,126.9868772,0.088603899,0.123437005,0.107473418,0.227461313
"종로구","원서동",447,1,193,11110149,"Wonseo-dong",37.5841834,126.9880867,0.090334422,0.12416588,0.108804675,0.226578844
"종로구","훈정동",1,NA,173,11110150,"Hunjeong-dong",37.5742191,126.9940707,0.090034543,0.112708386,0.114194344,0.218590395
"종로구","묘동",69,NA,32,11110151,"Myo-dong",37.5725522,126.9918438,0.087281143,0.111973753,0.111957949,0.22045605
"종로구","봉익동",103,NA,90,11110152,"Bongik-dong",37.572373,126.9930161,0.088228626,0.111369762,0.113130679,0.219270936
"종로구","돈의동",189,NA,31,11110153,"Donui-dong",37.5720312,126.9906468,0.0859807,0.11195098,0.110763036,0.221535517
"종로구","장사동",338,NA,109,11110154,"Jangsa-dong",37.5692358,126.9942544,0.087910284,0.107997024,0.114421918,0.217485097
"종로구","관수동",154,NA,137,11110155,"Gwansu-dong",37.5690609,126.9904495,0.084423549,0.109298685,0.11062453,0.2212026
"종로구","종로3가",69,NA,88,11110156,"Jongno 3(sam)-ga",37.5703825,126.9923929,0.086755032,0.109757793,0.112531492,0.219519685
"종로구","인의동",441,NA,174,11110157,"Inui-dong",37.5726289,126.9980205,0.092790022,0.109862666,0.118134548,0.214406549
"종로구","예지동",78,NA,110,11110158,"Yeji -dong",37.5695052,126.9984621,0.091827887,0.106769109,0.118620079,0.213391404
"종로구","원남동",264,NA,239,11110159,"Wonnam-dong",37.575484,126.9976454,0.093778778,0.112683943,0.117791482,0.215342723
"종로구","연지동",429,NA,251,11110160,"Yeonji-dong",37.5737459,127.0001194,0.095167056,0.110252779,0.12023765,0.21256788
"종로구","종로4가",51,NA,158,11110161,"Jongno 4(sa)-ga",37.5706899,126.9979792,0.091896862,0.108047084,0.118110907,0.214081512
"종로구","효제동",226,NA,252,11110162,"Hyoje-dong",37.5733424,127.0034706,0.097995312,0.108878286,0.123586093,0.209203826
"종로구","종로5가",112,NA,253,11110163,"Jongno 5(o)-ga",37.5707296,127.0033502,0.096782254,0.106408525,0.123480486,0.208812222
"종로구","종로6가",490,NA,254,11110164,"Jongno 6(yuk)-ga",37.5722418,127.0072739,0.100980859,0.10680346,0.127388855,0.205257122
"종로구","이화동",436,NA,260,11110165,"Ihwa-dong",37.5773254,127.0054705,0.101559862,0.112178165,0.125668367,0.208090434
"종로구","연건동",369,NA,272,11110166,"Yeongeon-dong",37.5784882,126.9996742,0.097006641,0.114905839,0.119926278,0.214000391
"종로구","충신동",668,NA,273,11110167,"Chungsin-dong",37.574766,127.0059174,0.100817565,0.109589751,0.126047764,0.207101961
"종로구","동숭동",918,NA,70,11110168,"Dongsung-dong",37.58161,127.0051704,0.103327507,0.116400026,0.125598354,0.209371879
"종로구","혜화동",836,NA,172,11110169,"Hyehwa-dong",37.587822,127.0023228,0.104118931,0.123131134,0.123362829,0.213696531
"종로구","명륜1가",948,NA,183,11110170,"Myeongnyun 1(il)-ga",37.5889535,126.9974079,0.100688276,0.125572925,0.118635731,0.218735737
"종로구","명륜2가",738,NA,162,11110171,"Myeongnyun 2(i)-ga",37.5846181,126.9991752,0.099736282,0.120910962,0.119879612,0.215919565
"종로구","명륜4가",182,NA,211,11110172,"Myeongnyun 4(sa)-ga",37.5823905,126.999806,0.099092458,0.118596125,0.120308084,0.21476722
"종로구","명륜3가",849,NA,124,11110173,"Myeongnyun 3(sam)-ga",37.5873096,126.9930707,0.096203889,0.125354717,0.114119215,0.222502553
"종로구","창신동",4429,NA,179,11110174,"Changsin-dong",37.5760033,127.0135246,0.108227302,0.109096867,0.133678559,0.199944084
"종로구","숭인동",3753,NA,182,11110175,"Sungin-dong",37.5766752,127.0190652,0.113556349,0.108852696,0.139234963,0.194703531
"종로구","교남동",262,NA,163,11110176,"Gyonam-dong",37.5684349,126.9644739,0.06198964,0.121511899,0.084697129,0.246741019
"종로구","평동",536,NA,274,11110177,"Pyeong-dong",37.5676735,126.9668353,0.063440103,0.11954375,0.087096496,0.244292187
"종로구","송월동",299,NA,210,11110178,"Songwol-dong",37.5701811,126.9653066,0.063716031,0.122476934,0.08545877,0.246187846
"종로구","홍파동",532,NA,275,11110179,"Hongpa-dong",37.5711594,126.9641514,0.063427288,0.123935975,0.084280129,0.24748441
"종로구","교북동",296,NA,224,11110180,"Gyobuk-dong",37.5714262,126.9613042,0.061430026,0.125783033,0.081428719,0.250337457
