고유번호,읍면동코드,읍면동명,읍면동영문명,위도,경도,여의도,양재,상암,하남
21,11260101,면목동,Myeonmok-dong,37.5819253,127.0902095,0.182348525,0.126199886,0.210524194,0.128589756
22,11260102,상봉동,Sangbong-dong,37.6001601,127.0832212,0.181788031,0.140167886,0.205176362,0.142885108
24,11110124,수송동,Susong-dong,37.5738606,126.9805797,0.078280399,0.117858647,0.100699991,0.231767348
26,11170120,도원동,Dowon-dong,37.538784,126.9562609,0.041863291,0.104649721,0.083581073,0.252250217
28,11110104,효자동,Hyoja-dong,37.5827038,126.9718981,0.076846194,0.129734126,0.092550546,0.242030429
32,11110151,묘동,Myo-dong,37.5725522,126.9918438,0.087281143,0.111973753,0.111957949,0.22045605
33,11110121,신문로2가,Sinmunno 2(i)-ga,37.5710316,126.9692509,0.06736857,0.121021858,0.089381133,0.242432002
34,11650101,방배동,Bangbae-dong,37.4790075,126.9959104,0.095989531,0.039541203,0.149152625,0.218819896
35,11650102,양재동,Yangjae-dong,37.468455,127.0362466,0.136244296,0.002156901,0.187944023,0.183252338
59,11320108,도봉동,Dobong-dong,37.6852416,127.0298657,0.192314729,0.216413617,0.187487721,0.235760982
61,11140104,을지로1가,Euljiro 1(il)-ga,37.5659055,126.9805717,0.074204818,0.110834921,0.100917056,0.230445899
62,11170113,원효로2가,Wonhyoro 2(i)-ga,37.5363505,126.9634639,0.048622716,0.097710366,0.09115425,0.244987909
63,11170115,산천동,Sancheon-dong,37.5357089,126.9515061,0.03667533,0.106273926,0.080624877,0.256931351
64,11410109,현저동,Hyeonjeo-dong,37.5741171,126.9547307,0.058612849,0.131837783,0.07485746,0.257262501
70,11110168,동숭동,Dongsung-dong,37.58161,127.0051704,0.103327507,0.116400026,0.125598354,0.209371879
71,11170112,원효로1가,Wonhyoro 1(iI)-ga,37.5399032,126.9675517,0.053172519,0.097357,0.093611976,0.241002194
72,11410106,천연동,Cheonyeon-dong,37.5678141,126.9597564,0.057908177,0.123779511,0.080021847,0.251314648
74,11110128,관훈동,Gwanhun-dong,37.5741579,126.9847959,0.081993749,0.116272935,0.104919549,0.227680111
75,11110129,견지동,Gyeonji-dong,37.5737344,126.9830947,0.080327032,0.116623944,0.103213539,0.229272245
77,11140115,남대문로2가,Namdaemunno 2(i)-ga,37.5638636,126.9820397,0.074577181,0.108338282,0.102538189,0.228694702
78,11110141,안국동,Anguk-dong,37.5774765,126.9838446,0.083003457,0.119682886,0.104066673,0.229260275
79,11140117,남대문로4가,Namdaemunno 4(sa)-ga,37.5606911,126.9755026,0.067311082,0.108941665,0.096372142,0.234748136
80,11140103,태평로1가,Taepyeongno 1(il)-ga,37.5675677,126.9773826,0.072238642,0.113848599,0.097633437,0.233851525
81,11650111,신원동,Sinwon-dong,37.4451504,127.0596521,0.168024052,0.03484246,0.220439744,0.171875514
66,11410101,충정로2가,Chungjeongno 2(i)-ga,37.5649689,126.9639845,0.059551774,0.118976425,0.08445632,0.246727518
67,11200108,응봉동,Eungbong-dong,37.5505366,127.0348586,0.1213114,0.08166985,0.156554386,0.174607284
